NJID,NJName,Rating,AsOfDate
5083,Bergen Catholic,2373.121193,11/19/2019
6324,Ranney,2351.434641,11/19/2019
3019,Newark East Side,2271.241945,11/19/2019
3292,Haddonfield,2257.185631,11/19/2019
5284,Wildwood Catholic,2254.190097,11/19/2019
6301,Gill St. Bernard's,2251.26213,11/19/2019
5214,Camden Catholic,2244.421405,11/19/2019
6202,Roselle Catholic,2226.551111,11/19/2019
3946,Moorestown,2181.44252,11/19/2019
4353,Ramapo,2145.217195,11/19/2019
5348,Montclair Immaculate,2125.780033,11/19/2019
5246,Paul VI,2122.975661,11/19/2019
5067,St. Joseph (Mont.),2115.343783,11/19/2019
5380,St. Benedict's,2109.286088,11/19/2019
5102,Don Bosco Prep,2073.677871,11/19/2019
3055,Elizabeth,2085.336291,11/19/2019
3764,Manasquan,2063.786903,11/19/2019
4976,St. Augustine,2056.332119,11/19/2019
2884,Colonia,2058.78848,11/19/2019
5412,Seton Hall Prep,2042.319885,11/19/2019
4013,New Providence,2041.518204,11/19/2019
6402,Union City,2044.98876,11/19/2019
4631,Teaneck,2033.562801,11/19/2019
4577,Sparta,2026.986173,11/19/2019
5468,Hudson Catholic,2021.872312,11/19/2019
2831,Cherokee,2019.484862,11/19/2019
6248,Trenton Catholic,2006.757706,11/19/2019
6326,Saddle River Day,2004.517033,11/19/2019
6183,Patrick School,1987.560968,11/19/2019
4694,Trenton,1979.282855,11/19/2019
4355,Ramsey,1980.366348,11/19/2019
6181,St. Mary (Eliz.),1974.593563,11/19/2019
6325,Rutgers Prep,1970.048466,11/19/2019
4865,West Side,1973.728889,11/19/2019
6556,Montverde (FL),1965.621888,11/19/2019
2761,Camden,1949.145415,11/19/2019
4686,Toms River North,1952.24118,11/19/2019
6232,Blair,1949.856531,11/19/2019
3435,Hunterdon Central,1943.337161,11/19/2019
6208,Union Catholic,1941.49339,11/19/2019
5767,Christian Brothers,1947.312876,11/19/2019
3111,Fair Lawn,1943.322296,11/19/2019
2739,Burlington City,1935.428516,11/19/2019
4611,Summit,1932.571989,11/19/2019
5623,St. Joseph (Met.),1921.867331,11/19/2019
3528,Paterson Kennedy,1913.530186,11/19/2019
3191,Freehold Township,1917.58969,11/19/2019
4306,Piscataway,1908.641594,11/19/2019
3940,Montgomery,1906.442848,11/19/2019
6763,American History,1899.251548,11/19/2019
6134,Immaculata,1901.22017,11/19/2019
3287,Hackensack,1902.562498,11/19/2019
4992,St. Joseph (Hamm.),1891.68965,11/19/2019
4296,Phillipsburg,1889.684623,11/19/2019
5451,Marist,1887.768423,11/19/2019
4314,Pleasantville,1877.858641,11/19/2019
4859,West Milford,1877.9989,11/19/2019
3966,Mountain Lakes,1879.083536,11/19/2019
4860,West Morris,1871.466266,11/19/2019
4212,Old Bridge,1867.40319,11/19/2019
3758,Mainland,1863.757321,11/19/2019
4202,Ocean City,1859.401591,11/19/2019
2742,Burlington Township,1857.482095,11/19/2019
4832,Watchung Hills,1853.389776,11/19/2019
4849,West Deptford,1864.632986,11/19/2019
4399,Ridgewood,1851.376804,11/19/2019
4835,Wayne Hills,1837.423473,11/19/2019
4517,Shawnee,1837.108125,11/19/2019
3922,Millville,1836.073256,11/19/2019
4906,Dickinson,1836.980336,11/19/2019
3023,Eastern,1824.438665,11/19/2019
3463,Irvington,1826.865688,11/19/2019
4349,Rahway,1818.506837,11/19/2019
5489,St. Peter's Prep,1813.74694,11/19/2019
3939,Montclair,1816.192546,11/19/2019
3229,Glassboro,1814.081319,11/19/2019
4912,Willingboro,1799.807048,11/19/2019
2951,Delsea,1799.273812,11/19/2019
9039,American Christian,1788.597297,11/19/2019
3510,Jefferson,1792.923341,11/19/2019
4710,Union,1792.577478,11/19/2019
4276,Penns Grove,1785.855681,11/19/2019
4764,Wall,1789.313142,11/19/2019
4679,Timber Creek,1778.492163,11/19/2019
6300,Dwight-Englewood,1778.141302,11/19/2019
3683,Lincoln,1775.128753,11/19/2019
4713,University,1776.564405,11/19/2019
4861,Mendham,1775.642917,11/19/2019
5256,Bishop Eustace,1776.323611,11/19/2019
2776,Carteret,1765.97655,11/19/2019
6652,Our Savior New American (NY),1772.346381,11/19/2019
2694,Bound Brook,1768.331156,11/19/2019
3644,Lenape,1763.326509,11/19/2019
8392,Paterson Charter,1767.591652,11/19/2019
6255,Delbarton,1760.185694,11/19/2019
6818,Long Island Lutheran (NY)),1763.174011,11/19/2019
2847,Cinnaminson,1757.159684,11/19/2019
5555,Notre Dame,1756.218214,11/19/2019
3290,Haddon Heights,1753.686726,11/19/2019
9906,Payne Tech,1754.802151,11/19/2019
3361,Snyder,1752.485734,11/19/2019
3409,Holmdel,1753.072294,11/19/2019
3339,Hawthorne,1743.80348,11/19/2019
3899,Middletown South,1746.023335,11/19/2019
5795,Red Bank Catholic,1745.450819,11/19/2019
2872,Clifton,1738.928287,11/19/2019
4633,Tenafly,1730.504068,11/19/2019
7666,Imhotep Charter (PA),1726.635191,11/19/2019
4836,Wayne Valley,1733.756738,11/19/2019
6244,Hopewell Valley,1733.318346,11/19/2019
2833,Cherry Hill East,1727.657243,11/19/2019
4357,Rancocas Valley,1724.016529,11/19/2019
7434,Archbishop Stepinac (NY),1719.018622,11/19/2019
6323,Pennsauken Tech,1724.515978,11/19/2019
6414,North Star Academy,1716.52287,11/19/2019
7114,Nazareth (NY),1724.435922,11/19/2019
2987,Dumont,1717.050586,11/19/2019
4464,Rumson-Fair Haven,1708.283361,11/19/2019
3251,Gov. Livingston,1720.207649,11/19/2019
6157,Pope John,1705.515156,11/19/2019
6493,Hill (PA),1707.254276,11/19/2019
5596,Bishop Ahr,1702.653857,11/19/2019
6478,Westtown (PA),1698.964246,11/19/2019
3749,Madison,1701.389038,11/19/2019
2806,Newark Central,1692.906059,11/19/2019
2658,Bergen Tech,1692.516557,11/19/2019
4768,Wallkill Valley,1690.060895,11/19/2019
4874,Westwood,1692.446454,11/19/2019
3697,Linden,1681.706471,11/19/2019
4257,Pascack Hills,1694.121872,11/19/2019
5557,Lawrenceville,1692.143425,11/19/2019
7092,Perkiomen (PA),1680.858029,11/19/2019
7002,George (PA),1684.42439,11/19/2019
3106,Ewing,1675.951074,11/19/2019
6318,Newark Tech,1680.536252,11/19/2019
6744,Christ the King (NY),1678.04263,11/19/2019
2593,Atlantic City,1671.280761,11/19/2019
3235,Glen Rock,1678.290875,11/19/2019
3177,Franklin,1671.954521,11/19/2019
8605,Foundation Collegiate,1670.01413,11/19/2019
4000,Neptune,1664.45248,11/19/2019
6913,Roman Catholic (PA),1668.690549,11/19/2019
4685,Toms River East,1674.841961,11/19/2019
2947,Delaware Valley,1667.295333,11/19/2019
4035,North Bergen,1663.088986,11/19/2019
5092,Paramus Catholic,1663.661325,11/19/2019
3793,Marlboro,1658.556294,11/19/2019
6497,Haverford (Private) (PA),1663.497442,11/19/2019
4004,New Brunswick,1665.976683,11/19/2019
2996,Dwight-Morrow,1648.703093,11/19/2019
4508,Seneca,1652.397599,11/19/2019
6697,Pennsylvania School for the Deaf (PA),1649.740791,11/19/2019
6294,Academy Charter,1652.376101,11/19/2019
6044,DePaul,1652.672818,11/19/2019
8518,Our Savior Lutheran (NY),1654.966979,11/19/2019
10042,Norcross,1641.695353,11/19/2019
2858,Clayton,1653.905097,11/19/2019
4547,South Brunswick,1644.981766,11/19/2019
4973,Holy Spirit,1639.697731,11/19/2019
7519,Mastery Charter North (PA),1641.472986,11/19/2019
4752,Vineland,1641.650865,11/19/2019
7640,"Philadelphia Math, Sciences and Civics (PA)",1645.614363,11/19/2019
2948,Delran,1641.428415,11/19/2019
3400,Hoboken,1635.977489,11/19/2019
4260,Passaic Tech,1632.373128,11/19/2019
3937,Monroe,1636.861945,11/19/2019
2692,Bordentown,1628.992281,11/19/2019
4284,Pequannock,1634.833592,11/19/2019
2683,Bloomfield,1625.961176,11/19/2019
6604,Paul VI (VA),1627.371218,11/19/2019
8590,Cardinal Hayes (NY),1626.870652,11/19/2019
6330,Doane Academy,1623.228657,11/19/2019
2688,Bogota,1620.677055,11/19/2019
4303,Pinelands,1627.710318,11/19/2019
9587,Girard College (PA),1622.158661,11/19/2019
3479,J.P. Stevens,1626.16841,11/19/2019
4255,Parsippany Hills,1624.598875,11/19/2019
6672,Abington Friends (PA),1615.112648,11/19/2019
6628,Shipley (PA),1620.801217,11/19/2019
4042,North Hunterdon,1620.059097,11/19/2019
4870,Westfield,1621.347138,11/19/2019
3864,Memorial,1613.348889,11/19/2019
3378,Hightstown,1608.144963,11/19/2019
6337,Westampton Tech,1609.791173,11/19/2019
4391,Ridge,1611.991839,11/19/2019
8227,IMG Academy (FL),1605.328726,11/19/2019
5773,Mater Dei,1587.96207,11/19/2019
6895,Father Judge (PA),1596.316949,11/19/2019
3309,Hanover Park,1597.605648,11/19/2019
6573,Wilson (PA),1592.786916,11/19/2019
4951,Wood-Ridge,1597.521881,11/19/2019
6302,Hawthorne Christian,1598.493094,11/19/2019
2826,Chatham,1587.367401,11/19/2019
2890,Columbia,1582.94614,11/19/2019
10052,Berean Christian School (TN),1592.87095,11/19/2019
8136,Sanford (DE),1584.727868,11/19/2019
7662,Jackson (OH),1588.129601,11/19/2019
3731,Lower Cape May,1577.959426,11/19/2019
7213,Blair B,1587.93925,11/19/2019
8470,Springside-Chestnut Hill Academy (PA),1588.016568,11/19/2019
4049,Northern Highlands,1583.130018,11/19/2019
4866,West Windsor-Plainsboro North,1576.589395,11/19/2019
9998,Vashon,1579.832466,11/19/2019
6717,Archbishop Wood (PA),1579.692709,11/19/2019
6817,Solid Rock Christian,1578.896196,11/19/2019
3328,Hasbrouck Heights,1576.919458,11/19/2019
9005,Haverford (Public) (PA),1576.010811,11/19/2019
7802,ANC (PA),1579.82613,11/19/2019
8882,MacDuffie (MA),1571.010938,11/19/2019
7883,New Foundations (PA),1579.392918,11/19/2019
9471,Knox (NY),1566.628333,11/19/2019
4793,Warren Hills,1566.850523,11/19/2019
9829,Covenant Prep,1562.499386,11/19/2019
10009,South Lakes (Va.),1568.284603,11/19/2019
3374,Highland,1564.221388,11/19/2019
3755,Mahwah,1565.141895,11/19/2019
2920,Cresskill,1561.793483,11/19/2019
8101,Sankofa Freedom (PA),1564.970146,11/19/2019
6927,St. Anthony's (NY),1560.264876,11/19/2019
6743,St. Raymond's (NY),1567.225311,11/19/2019
3583,Kingsway,1556.707713,11/19/2019
7317,Council Rock North (PA),1563.402983,11/19/2019
6711,Germantown Academy (PA),1565.137199,11/19/2019
2554,Allentown,1571.146814,11/19/2019
